ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
NJ0161400,1,WAYNE TWP POLICE DEPT                                                                               ,Wayne                                   ,New Jersey          ,NJ,54813,116,23,115,108,195000,195000,131362,138588,40000,124854,(1) Yes,NA
NJ0102600,1,WEST AMWELL TWP POLICE DEPT                                                                         ,Lambertville                            ,New Jersey          ,NJ,3837,6,0,6,6,96627,96627,80729,84402,44544,46571,(1) Yes,944300
NJ0072100,1,WEST CALDWELL TWP POLICE DEPT                                                                       ,West Caldwell                           ,New Jersey          ,NJ,10838,26,6,25,25,150000,150000,105000,105000,44000,44000,(1) Yes,4.00E+06
NJ0091200,1,WEST NEW YORK POLICE DEPT                                                                           ,West New York                           ,New Jersey          ,NJ,51464,100,8,95,24,160000,160000,102413,112260,44133,100030,(1) Yes,13537762
NJ0072200,1,WEST ORANGE TWP POLICE DEPT                                                                         ,West Orange                             ,New Jersey          ,NJ,46602,90,12,87,73,178073,178073,89647,109214,43620,97447,(1) Yes,12189692
NJ0082100,1,WESTVILLE POLICE DEPT                                                                               ,Westville                               ,New Jersey          ,NJ,4252,15,2,15,15,90000,102000,76020,77461,49646,72725,(1) Yes,NA
NJ0122500,1,WOODBRIDGE TWP POLICE DEPT                                                                          ,Woodbridge                              ,New Jersey          ,NJ,100228,192,64,181,163,135988,175000,104616,110368,46189,101390,(1) Yes,26351935
NJ0161600,1,WOODLAND PARK POLICE DEPT                                                                           ,Woodland Park                           ,New Jersey          ,NJ,12428,25,5,23,21,166000,166000,116000,116000,40600,40600,(1) Yes,1080000
NM0010100,1,ALBUQUERQUE POLICE DEPT                                                                             ,Albuquerque                             ,New Mexico          ,NM,555417,971,406,845,531,137155,137155,62732,62732,41683,41683,(1) Yes,155098000
NM0080100,1,ARTESIA POLICE DEPT                                                                                 ,Artesia                                 ,New Mexico          ,NM,11365,32,21,28,14,103000,103000,48000,52000,32000,45000,(1) Yes,5882288
NM0090200,1,BAYARD POLICE DEPT                                                                                  ,Bayard                                  ,New Mexico          ,NM,2316,6,2,6,3,42000,46000,32000,36000,30000,35000,(1) Yes,236000
NM0010000,2,BERNALILLO COUNTY SHERIFFS DEPT                                                                     ,Albuquerque                             ,New Mexico          ,NM,673460,299,62,266,185,68307,68307,58739,58739,49067,49067,(1) Yes,33640891
NM0310100,1,CLAYTON POLICE DEPT                                                                                 ,Clayton                                 ,New Mexico          ,NM,2910,8,6,7,7,59000,59000,41000,41000,37440,37440,(1) Yes,1024340
NM0040000,2,COLFAX COUNTY SHERIFFS DEPT                                                                         ,Raton                                   ,New Mexico          ,NM,13223,10,2,10,5,NA,NA,NA,NA,NA,NA,(2) No,938900
NM0060000,2,DE BACA COUNTY SHERIFFS DEPT                                                                        ,Fort Sumner                             ,New Mexico          ,NM,1927,6,0,5,0,35000,35000,33000,33000,25000,25000,(2) No,324000
NM0240200,1,FARMINGTON POLICE DEPT                                                                              ,Farmington                              ,New Mexico          ,NM,45854,121,28,112,96,99100,148100,59085,76710,44747,61633,(1) Yes,14253047
NM0090000,2,GRANT COUNTY SHERIFFS DEPT                                                                          ,Silver City                             ,New Mexico          ,NM,29388,39,5,37,10,59699,59699,40768,40768,34382,34382,(1) Yes,3464258
NM0320200,1,GRANTS POLICE DEPT                                                                                  ,Grants                                  ,New Mexico          ,NM,9224,15,2,14,7,54000,54000,42000,42000,32000,32000,(1) Yes,2.00E+06
NM0070100,1,LAS CRUCES POLICE DEPT                                                                              ,Las Cruces                              ,New Mexico          ,NM,101047,176,79,161,61,1.00E+05,110300,61806,68460,42765,60429,(1) Yes,20800000
NM0160000,2,LUNA COUNTY SHERIFFS DEPT                                                                           ,Deming                                  ,New Mexico          ,NM,25041,33,6,32,10,59699,59699,38896,58344,31145,46718,(2) No,2700000
NM0180000,2,MORA COUNTY SHERIFFS DEPT                                                                           ,Mora                                    ,New Mexico          ,NM,4705,4,1,4,1,38500,38500,31200,31200,20800,20800,(1) Yes,350869
NMNSP0000,3,New Mexico State Police                                                                             ,Santa Fe                                ,New Mexico          ,NM,2099765,501,147,474,195,97697,103229,53664,62215,37128,52743,(2) No,127269800
NM0220100,1,PORTALES POLICE DEPT                                                                                ,Portales                                ,New Mexico          ,NM,12723,20,6,18,13,38812,68315,33186,50125,26066,46209,(1) Yes,2521788
NM0290200,1,QUESTA POLICE DEPT                                                                                  ,Questa                                  ,New Mexico          ,NM,1760,1,1,1,0,41600,41600,NA,NA,24960,29120,(1) Yes,NA
NM0230600,1,RIO RANCHO DEPT OF PUBLIC SFTY                                                                      ,Rio Rancho                              ,New Mexico          ,NM,90818,125,97,113,72,114254,114254,51542,62379,39208,52062,(1) Yes,17376257
NM0240000,2,SAN JUAN COUNTY SHERIFFS DEPT                                                                       ,Aztec                                   ,New Mexico          ,NM,128529,96,28,88,80,68307,68307,62587,71968,44678,46467,(2) No,12771303
NM0230800,1,SANTA ANA TRIBAL POLICE DEPT                                                                        ,Bernalillo                              ,New Mexico          ,NM,597,21,1,19,5,62000,82000,40000,50000,30000,40000,(1) Yes,1500000
NM0270000,2,SIERRA COUNTY SHERIFFS OFFICE                                                                       ,Truth or Consequences                   ,New Mexico          ,NM,11895,13,2,13,0,51277,51277,29910,34902,23546,28371,(2) No,1.00E+06
NM0070600,1,SUNLAND PARK POLICE DEPT                                                                            ,Sunland Park                            ,New Mexico          ,NM,14776,19,3,17,1,58814,58814,45760,45760,32989,42640,(1) Yes,1900000
NM0270100,1,TRUTH OR CONSEQUENCES POLICE DEPT                                                                   ,Truth or Consequences                   ,New Mexico          ,NM,6411,15,4,12,9,44262,66976,31137,47112,26561,43492,(1) Yes,1439542
