ORI9,TYPE,BJS_AGENCYNAME,CITY,STATENAME,STATECODE,POP2012,FTSWORN,FTCIV,PERS_PDSW_MFT,PERS_FTS_WHT,PAY_SAL_EXC_MIN,PAY_SAL_EXC_MAX,PAY_SAL_SGT_MIN,PAY_SAL_SGT_MAX,PAY_SAL_OFCR_MIN,PAY_SAL_OFCR_MAX,PAY_BARG,BDGT_TTL
AKASP0000,3,Alaska State Troopers                                                                               ,Anchorage                               ,Alaska              ,AK,730496,303,198,289,257,99468,99468,71148,71148,61404,61404,(1) Yes,139072400
AK0011300,1,BETHEL POLICE DEPT                                                                                  ,Bethel                                  ,Alaska              ,AK,6371,13,10,11,9,78000,104000,51658,97413,43071,77359,(1) Yes,3278838
AK0014600,1,BRISTOL BAY BOROUGH POLICE DEPT                                                                     ,King Salmon                             ,Alaska              ,AK,997,5,5,5,4,68208,102480,NA,NA,53456,79789,(1) Yes,1.00E+06
AK0011400,1,CORDOVA POLICE DEPT                                                                                 ,Cordova                                 ,Alaska              ,AK,2267,6,6,6,5,70342,70342,NA,NA,44574,53934,(1) Yes,531000
AK0013200,1,NORTH POLE POLICE DEPT                                                                              ,North Pole                              ,Alaska              ,AK,2210,14,1,11,12,50952,91800,41532,76752,43476,43476,(1) Yes,1500000
         ,1,ST. MARY'S POLICE DEPT                                                                              ,St. Mary's                              ,Alaska              ,AK,531,0,0,0,0,NA,NA,36400,36400,29640,29640,(2) No,127880
AK0011100,1,WRANGELL POLICE DEPT                                                                                ,Wrangell                                ,Alaska              ,AK,2403,7,8,7,5,NA,NA,NA,NA,NA,NA,(2) No,NA
ALAST0000,3,Alabama Department of Public Safety                                                                 ,Montgomery                              ,Alabama             ,AL,4824222,668,537,654,515,69098,105403,41258,76349,29225,47758,(1) Yes,103106105
AL0500100,1,ALBERTVILLE POLICE DEPT                                                                             ,Albertville                             ,Alabama             ,AL,21516,45,23,45,45,51000,51000,NA,NA,NA,NA,(2) No,3952576
AL0620100,1,ALEXANDER CITY POLICE DEPT                                                                          ,Alexander City                          ,Alabama             ,AL,14728,49,18,46,41,52047,84248,33599,54387,28833,45845,(2) No,4500000
AL0581200,1,ARGO POLICE DEPT                                                                                    ,Trussville                              ,Alabama             ,AL,4131,6,0,6,5,39400,39400,34320,34320,33200,33200,(2) No,251480
AL0580200,1,ASHVILLE POLICE DEPT                                                                                ,Ashville                                ,Alabama             ,AL,2234,5,0,4,5,35000,60000,30000,40000,30000,40000,(1) Yes,342000
AL0440100,1,ATHENS POLICE DEPT                                                                                  ,Athens                                  ,Alabama             ,AL,23469,46,10,44,43,75000,105000,40000,55000,32000,50000,(1) Yes,4700000
AL0040000,2,AUTAUGA COUNTY SHERIFFS OFFICE                                                                      ,Prattville                              ,Alabama             ,AL,55514,26,4,26,24,60568,60568,32864,41600,28704,37440,(1) Yes,1983749
AL0050000,2,BALDWIN COUNTY SHERIFFS OFFICE                                                                      ,Bay Minette                             ,Alabama             ,AL,190790,105,182,102,94,93776,95794,44137,68840,36583,36583,(2) No,18939886
AL0320200,1,BERRY POLICE DEPT                                                                                   ,Berry                                   ,Alabama             ,AL,1130,3,0,3,2,41600,45760,NA,NA,34320,38480,(1) Yes,227700
AL0010100,1,BESSEMER POLICE DEPT                                                                                ,Bessemer                                ,Alabama             ,AL,27289,105,32,98,49,61900,96050,36275,56201,31304,48505,(2) No,10200000
AL0010200,1,BIRMINGHAM POLICE DEPT                                                                              ,Birmingham                              ,Alabama             ,AL,212038,847,255,715,329,NA,NA,41433,64188,35796,55515,(2) No,83233076
AL0390200,1,BRIDGEPORT POLICE DEPT                                                                              ,Bridgeport                              ,Alabama             ,AL,2395,6,4,6,6,32000,35000,30000,32000,28000,30000,(1) Yes,NA
         ,1,BROOKWOOD POLICE DEPT                                                                               ,Brookwood                               ,Alabama             ,AL,1842,6,0,6,6,40000,52000,35000,38000,30000,31500,(1) Yes,270000
AL0590100,1,CALERA POLICE DEPT                                                                                  ,Calera                                  ,Alabama             ,AL,12472,26,33,26,24,77854,104270,45413,60931,40605,53149,(1) Yes,2800000
AL0660100,1,CAMDEN POLICE DEPT                                                                                  ,Camden                                  ,Alabama             ,AL,1990,9,1,9,4,47000,47000,41000,44000,23400,35155,(2) No,310000
AL0610300,1,CHILDERSBURG POLICE DEPT                                                                            ,Childersburg                            ,Alabama             ,AL,5124,12,1,12,11,48000,48000,NA,NA,NA,NA,(1) Yes,986000
AL0170000,2,CLAY COUNTY SHERIFFS OFFICE                                                                         ,Ashland                                 ,Alabama             ,AL,13435,9,16,8,9,56763,56763,NA,NA,24194,26944,(1) Yes,1.00E+06
AL0250000,2,CULLMAN COUNTY SHERIFFS OFFICE                                                                      ,Cullman                                 ,Alabama             ,AL,80440,75,55,73,75,69113,69113,31997,50801,29425,45368,(1) Yes,8712124
AL0620200,1,DADEVILLE POLICE DEPT                                                                               ,Dadeville                               ,Alabama             ,AL,3194,14,1,14,11,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AL0520100,1,DECATUR POLICE DEPT                                                                                 ,Decatur                                 ,Alabama             ,AL,55996,130,25,123,109,63232,100620,33540,55300,30550,48308,(2) No,11812534
AL0380100,1,DOTHAN POLICE DEPT                                                                                  ,Dothan                                  ,Alabama             ,AL,67382,158,68,147,134,85197,129855,41433,63273,33072,50585,(2) No,17353101
AL0240300,1,DOZIER POLICE DEPT                                                                                  ,Dozier                                  ,Alabama             ,AL,334,1,0,1,0,10000,20000,NA,NA,NA,NA,(2) No,43180
AL0300400,1,FLOMATON POLICE DEPT                                                                                ,Flomaton                                ,Alabama             ,AL,1427,5,3,5,5,86528,86528,27400,27400,24960,24960,(1) Yes,3.00E+05
AL0280300,1,GERALDINE POLICE DEPT                                                                               ,Geraldine                               ,Alabama             ,AL,900,5,1,5,5,35000,35000,NA,NA,30000,30000,(1) Yes,232900
AL0500200,1,GUNTERSVILLE POLICE DEPT                                                                            ,Guntersville                            ,Alabama             ,AL,8343,33,11,31,33,65000,65000,36000,43500,27000,42000,(1) Yes,2697000
AL0360000,2,HALE COUNTY SHERIFFS OFFICE                                                                         ,Greensboro                              ,Alabama             ,AL,15388,10,14,10,5,76721,76721,28174,28174,26832,26832,(2) No,1271031
AL0280400,1,HENAGAR POLICE DEPT                                                                                 ,Henagar                                 ,Alabama             ,AL,2343,5,4,5,5,29932,29932,26284,26284,21120,21120,(1) Yes,396000
AL0370000,2,HENRY COUNTY SHERIFFS OFFICE                                                                        ,Abbeville                               ,Alabama             ,AL,17287,12,4,12,12,50000,55000,26500,28500,22000,23000,(1) Yes,NA
AL0390400,1,HOLLYWOOD POLICE DEPT                                                                               ,Hollywood                               ,Alabama             ,AL,992,2,2,2,2,37000,37000,NA,NA,30000,30000,(1) Yes,175000
AL0011200,1,HOOVER POLICE DEPT                                                                                  ,Hoover                                  ,Alabama             ,AL,83412,158,62,144,141,113312,184820,46760,76270,42203,68835,(1) Yes,NA
AL0470100,1,HUNTSVILLE POLICE DEPT                                                                              ,Huntsville                              ,Alabama             ,AL,183739,408,121,384,354,77584,125153,45801,69992,37814,57720,(2) No,39881825
AL0010000,2,JEFFERSON COUNTY SHERIFFS OFFICE                                                                    ,Birmingham                              ,Alabama             ,AL,660009,425,113,357,284,115000,115000,36316,56284,31449,48651,(1) Yes,4.30E+07
MS0380000,2,LAUDERDALE COUNTY SHERIFFS OFFICE                                                                   ,Florence                                ,Alabama             ,AL,92542,38,5,36,35,62000,62000,38491,41763,27535,37292,(1) Yes,NA
AL0430000,2,LEE COUNTY SHERIFFS OFFICE                                                                          ,Opelika                                 ,Alabama             ,AL,147257,69,79,54,59,87650,87650,36000,52000,32600,44000,(1) Yes,9200000
AL0170200,1,LINEVILLE POLICE DEPT                                                                               ,Lineville                               ,Alabama             ,AL,2308,8,4,8,7,40000,49379,24814,36441,20716,33987,(2) No,643779
AL0230600,1,LOCKHART POLICE DEPT                                                                                ,Lockhart                                ,Alabama             ,AL,519,0,2,0,0,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AL0060400,1,LOUISVILLE POLICE DEPT                                                                              ,Louisville                              ,Alabama             ,AL,504,4,0,4,3,28800,28800,NA,NA,24000,24000,(1) Yes,NA
AL0450000,2,LOWNDES COUNTY SHERIFFS OFFICE                                                                      ,Hayneville                              ,Alabama             ,AL,10857,12,32,11,1,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AL0020000,2,MOBILE COUNTY SHERIFFS OFFICE                                                                       ,Mobile                                  ,Alabama             ,AL,413936,162,322,NA,0,141000,141000,43587,57190,29361,34901,(1) Yes,45869469
AL0020100,1,MOBILE POLICE DEPT                                                                                  ,Mobile                                  ,Alabama             ,AL,194822,541,157,484,358,134118,134118,35774,57190,29361,46938,(1) Yes,3.00E+07
AL0510100,1,MONROEVILLE POLICE DEPT                                                                             ,Monroeville                             ,Alabama             ,AL,6363,23,6,20,13,33000,65000,26000,32000,23000,28000,(1) Yes,1510662
AL0030000,2,MONTGOMERY COUNTY SHERIFFS OFFICE                                                                   ,Montgomery                              ,Alabama             ,AL,230149,125,249,113,77,94646,134731,40962,58309,36186,45139,(1) Yes,1.10E+07
AL0030100,1,MONTGOMERY POLICE DEPT                                                                              ,Montgomery                              ,Alabama             ,AL,205293,528,217,459,298,95556,136027,41356,58870,35403,45573,(1) Yes,45140014
AL0360200,1,MOUNDVILLE POLICE DEPT                                                                              ,Moundville                              ,Alabama             ,AL,2441,8,1,8,7,41000,42860,34500,36800,26000,34500,(1) Yes,5.00E+05
AL0020800,1,MOUNT VERNON POLICE DEPT                                                                            ,Mount Vernon                            ,Alabama             ,AL,1562,8,1,7,0,114400,114400,83200,83200,52000,52000,(2) No,735400
AL0010300,1,MOUNTAIN BROOK POLICE DEPT                                                                          ,Mountain Brook                          ,Alabama             ,AL,20369,52,16,48,49,81349,126235,41142,63752,35547,55078,(1) Yes,6671688
AL0080100,1,ONEONTA POLICE DEPT                                                                                 ,Oneonta                                 ,Alabama             ,AL,6638,19,1,18,19,53875,65798,45820,50363,33699,42151,(1) Yes,1346500
AL0590600,1,PELHAM POLICE DEPT                                                                                  ,Pelham                                  ,Alabama             ,AL,22012,67,16,65,0,80339,112494,47903,67076,40319,56467,(1) Yes,7841179
AL0011400,1,PLEASANT GROVE POLICE DEPT                                                                          ,Pleasant Grove                          ,Alabama             ,AL,10371,19,5,17,17,60777,84369,33904,52561,29307,45385,(2) No,1947296
ALDI00300,1,POARCH CREEK TRIBAL POLICE DEPT                                                                     ,Atmore                                  ,Alabama             ,AL,1914,49,7,46,34,60175,90262,35568,49816,32344,45760,(1) Yes,3844200
AL0020200,1,PRICHARD POLICE DEPT                                                                                ,Prichard                                ,Alabama             ,AL,22416,39,13,34,14,NA,NA,NA,NA,21861,21861,(1) Yes,NA
AL0330300,1,RED BAY POLICE DEPT                                                                                 ,Red Bay                                 ,Alabama             ,AL,3153,7,4,6,7,43800,43800,NA,NA,NA,NA,(1) Yes,NA
AL0570000,2,RUSSELL COUNTY SHERIFFS OFFICE                                                                      ,Phenix City                             ,Alabama             ,AL,57820,41,73,38,28,NA,NA,NA,NA,NA,NA,(2) No,NA
AL0020700,1,SATSUMA POLICE DEPT                                                                                 ,Satsuma                                 ,Alabama             ,AL,6133,14,4,13,12,60000,61250,35963,36858,28100,31783,(1) Yes,1227423
AL0270100,1,SELMA POLICE DEPT                                                                                   ,Selma                                   ,Alabama             ,AL,20251,48,23,40,12,60000,79000,32000,35000,29000,33000,(1) Yes,4.00E+06
AL0590000,2,SHELBY COUNTY SHERIFFS OFFICE                                                                       ,Columbiana                              ,Alabama             ,AL,200941,120,90,115,110,145000,145000,54200,67700,43400,59100,(1) Yes,19500000
AL0051300,1,SPANISH FORT POLICE DEPT                                                                            ,Spanish Fort                            ,Alabama             ,AL,7330,20,4,20,20,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AL0610200,1,TALLADEGA POLICE DEPT                                                                               ,Talladega                               ,Alabama             ,AL,15591,40,4,37,35,48963,60694,35162,43593,30205,37434,(1) Yes,2411378
AL0010800,1,TARRANT POLICE DEPT                                                                                 ,Tarrant                                 ,Alabama             ,AL,6340,22,3,22,19,51542,79892,34923,54100,30180,46758,(1) Yes,1900000
AL0281300,1,VALLEY HEAD POLICE DEPT                                                                             ,Valley Head                             ,Alabama             ,AL,555,1,1,1,1,32000,32000,25000,25000,NA,NA,(1) Yes,75000
AL0010900,1,VESTAVIA HILLS POLICE DEPT                                                                          ,Vestavia Hills                          ,Alabama             ,AL,34078,70,3,68,67,77417,120140,39145,63731,33883,52436,(1) Yes,6178219
AL0670000,2,WINSTON COUNTY SHERIFFS OFFICE                                                                      ,Double Springs                          ,Alabama             ,AL,24108,12,28,12,12,34000,54000,33000,36000,28000,32000,(1) Yes,1250000
ARASP0000,3,Arkansas State Police                                                                               ,Little Rock                             ,Arkansas            ,AR,2954968,513,407,492,433,110568,112624,45377,72257,36000,57514,(1) Yes,138070888
AR0430500,1,AUSTIN POLICE DEPT                                                                                  ,Austin                                  ,Arkansas            ,AR,2533,3,0,3,3,35000,36000,NA,NA,23000,23500,(1) Yes,NA
AR0520200,1,BEARDEN POLICE DEPT                                                                                 ,Bearden                                 ,Arkansas            ,AR,939,2,0,1,2,NA,NA,NA,NA,NA,NA,(1) Yes,92487
AR0040000,2,BENTON COUNTY SHERIFFS OFFICE                                                                       ,Bentonville                             ,Arkansas            ,AR,232268,138,86,118,126,51958,77958,37564,56368,31616,47424,(1) Yes,8138339
AR0630100,1,BENTON POLICE DEPT                                                                                  ,Benton                                  ,Arkansas            ,AR,32117,58,20,56,57,65000,97500,39000,46400,30000,35000,(1) Yes,5700000
AR0060000,2,BRADLEY COUNTY SHERIFFS OFFICE                                                                      ,Warren                                  ,Arkansas            ,AR,11397,5,1,4,0,34800,34800,27500,27500,24500,24500,(2) No,3.00E+05
AR0430300,1,CARLISLE POLICE DEPT                                                                                ,Carlisle                                ,Arkansas            ,AR,2211,5,4,5,4,40000,41800,33240,38000,24875,32000,(2) No,424139
AR0080000,2,CARROLL COUNTY SHERIFFS OFFICE                                                                      ,Berryville                              ,Arkansas            ,AR,27610,18,3,18,17,45000,45000,27000,27000,24000,24000,(2) No,1260055
AR0110000,2,CLAY COUNTY SHERIFFS OFFICE                                                                         ,Piggott                                 ,Arkansas            ,AR,15684,11,12,11,11,37358,37358,31908,31908,30730,30730,(1) Yes,1410133
AR0230100,1,CONWAY POLICE DEPT                                                                                  ,Conway                                  ,Arkansas            ,AR,62939,115,44,105,110,87846,87846,48985,50469,35594,43731,(1) Yes,9705143
AR0160000,2,CRAIGHEAD COUNTY SHERIFFS OFFICE                                                                    ,Jonesboro                               ,Arkansas            ,AR,99735,30,82,29,30,70328,70328,39540,39540,37540,37540,(1) Yes,2653112
AR0670100,1,DE QUEEN POLICE DEPT                                                                                ,DeQueen                                 ,Arkansas            ,AR,6632,12,3,12,12,37470,56201,28109,42163,24960,24960,(2) No,1121243
AR0340300,1,DIAZ POLICE DEPT                                                                                    ,Diaz                                    ,Arkansas            ,AR,1284,2,0,2,1,28500,36000,23000,26000,21500,22000,(1) Yes,NA
AR0700100,1,EL DORADO POLICE DEPT                                                                               ,El Dorado                               ,Arkansas            ,AR,18491,51,17,45,45,68120,68120,36800,36800,28207,28207,(1) Yes,1407635
AR0720500,1,FARMINGTON POLICE DEPT                                                                              ,Farmington                              ,Arkansas            ,AR,6171,10,1,10,9,50496,71996,39565,56411,31000,44199,(2) No,775544
AR0720100,1,FAYETTEVILLE POLICE DEPT                                                                            ,Fayetteville                            ,Arkansas            ,AR,76899,113,47,107,108,75944,115739,46381,62705,35656,50657,(2) No,12330883
AR0450300,1,FLIPPIN POLICE DEPT                                                                                 ,Flippin                                 ,Arkansas            ,AR,1346,6,0,6,6,NA,NA,NA,NA,NA,NA,(1) Yes,450000
AR0660100,1,FORT SMITH POLICE DEPT                                                                              ,Fort Smith                              ,Arkansas            ,AR,87443,164,44,157,130,68182,107307,50939,58573,35880,49109,(2) No,16779760
AR0240000,2,FRANKLIN COUNTY SHERIFFS DEPT                                                                       ,Ozark                                   ,Arkansas            ,AR,18045,11,10,10,11,37910,37910,28741,29209,23000,28741,(1) Yes,1169000
AR0250000,2,FULTON COUNTY SHERIFFS DEPT                                                                         ,Salem                                   ,Arkansas            ,AR,12318,8,7,8,8,38000,38000,22000,22000,18500,18500,(2) No,450000
AR0260000,2,GARLAND COUNTY SHERIFFS DEPT                                                                        ,Hot Springs                             ,Arkansas            ,AR,96903,47,87,39,44,45858,68786,32435,48653,27232,40848,(1) Yes,6826405
AR0020200,1,HAMBURG POLICE DEPT                                                                                 ,Hamburg                                 ,Arkansas            ,AR,2843,5,1,5,4,33000,34000,29690,30590,29390,29990,(2) No,389633
AR0300000,2,HOT SPRING COUNTY SHERIFFS DEPT                                                                     ,Malvern                                 ,Arkansas            ,AR,33394,25,2,22,25,39785,39785,26266,26266,23214,25166,(2) No,4700000
AR0310000,2,HOWARD COUNTY SHERIFFS OFFICE                                                                       ,Nashville                               ,Arkansas            ,AR,13735,11,12,11,10,46046,46046,NA,NA,31048,31048,(1) Yes,1491224
AR0720900,1,JOHNSON POLICE DEPT                                                                                 ,Johnson                                 ,Arkansas            ,AR,3465,12,3,12,10,50000,75000,42000,45000,32000,40000,(2) No,650000
AR0160100,1,JONESBORO POLICE DEPT                                                                               ,Jonesboro                               ,Arkansas            ,AR,70187,156,15,148,149,75050,112574,39910,59863,31124,46685,(1) Yes,9693714
AR0360300,1,LAMAR POLICE DEPT                                                                                   ,Lamar                                   ,Arkansas            ,AR,1661,3,0,2,3,38000,38000,28000,28000,24000,25000,(1) Yes,NA
AR0380000,2,LAWRENCE COUNTY SHERIFFS DEPT                                                                       ,Walnut Ridge                            ,Arkansas            ,AR,17012,13,12,13,13,35000,35000,27000,28000,23000,27000,(1) Yes,1200000
AR0410000,2,LITTLE RIVER COUNTY SHERIFFS DEPT                                                                   ,Ashdown                                 ,Arkansas            ,AR,12919,10,9,9,10,35000,35000,28600,28600,26000,26000,(1) Yes,298000
AR0600200,1,LITTLE ROCK POLICE DEPT                                                                             ,Little Rock                             ,Arkansas            ,AR,196537,534,123,440,366,89693,138127,60995,65227,39140,58737,(1) Yes,50331498
AR0300100,1,MALVERN POLICE DEPT                                                                                 ,Malvern                                 ,Arkansas            ,AR,10859,20,3,18,18,49247,49247,32130,32130,24980,24980,(1) Yes,1631787
AR0450000,2,MARION COUNTY SHERIFFS DEPT                                                                         ,Yellville                               ,Arkansas            ,AR,16568,17,12,16,17,40200,40200,30160,30160,21840,28080,(2) No,1.00E+06
AR0030100,1,MOUNTAIN HOME POLICE DEPT                                                                           ,Mountain Home                           ,Arkansas            ,AR,12298,26,8,26,26,59623,71176,28981,43461,25902,38897,(1) Yes,2206407
AR0170300,1,MULBERRY POLICE DEPT                                                                                ,Mulberry                                ,Arkansas            ,AR,1639,3,0,3,2,31000,31000,30024,30024,29120,29120,(1) Yes,165388
AR0500000,2,NEVADA COUNTY SHERIFFS DEPT                                                                         ,Prescott                                ,Arkansas            ,AR,8925,5,11,4,4,33000,33000,27000,27000,25000,25000,(1) Yes,493224
AR0600300,1,NORTH LITTLE ROCK POLICE DEPT                                                                       ,North Little Rock                       ,Arkansas            ,AR,64633,184,36,175,165,95194,95194,52525,52525,34827,35458,(1) Yes,19500000
AR0750300,1,OLA POLICE DEPT                                                                                     ,Ola                                     ,Arkansas            ,AR,1261,3,0,3,3,29000,29600,26000,26500,23000,23500,(1) Yes,150000
         ,1,PATTERSON POLICE DEPT                                                                               ,Patterson                               ,Arkansas            ,AR,439,3,0,3,3,32000,32000,23000,25000,21000,21000,(1) Yes,125000
AR0350100,1,PINE BLUFF POLICE DEPT                                                                              ,Pine Bluff                              ,Arkansas            ,AR,47035,152,24,123,70,82148,82148,37140,37140,29370,29370,(1) Yes,NA
AR0720300,1,PRAIRIE GROVE POLICE DEPT                                                                           ,Prairie Grove                           ,Arkansas            ,AR,4654,11,0,9,10,55610,55610,39720,39720,30215,37829,(1) Yes,654231
AR0600000,2,PULASKI COUNTY SHERIFFS DEPT                                                                        ,Little Rock                             ,Arkansas            ,AR,388953,123,373,84,0,91593,91593,35582,40024,29952,33691,(2) No,3.40E+07
AR0580100,1,RUSSELLVILLE POLICE DEPT                                                                            ,Russellville                            ,Arkansas            ,AR,28616,56,7,55,55,59000,69000,40500,42978,27000,27000,(1) Yes,3927439
AR0600400,1,SHERWOOD POLICE DEPT                                                                                ,Sherwood                                ,Arkansas            ,AR,29824,60,29,51,55,65270,97906,36837,55266,32000,32000,(2) No,5639683
AR0720200,1,SPRINGDALE POLICE DEPT                                                                              ,Springdale                              ,Arkansas            ,AR,73123,126,48,123,114,99818,99818,39247,58870,31895,48387,(1) Yes,12190000
AR0170100,1,VAN BUREN POLICE DEPT                                                                               ,Van Buren                               ,Arkansas            ,AR,23006,43,14,40,41,59520,59520,38496,41923,31348,35078,(2) No,3924980
         ,1,WALDO POLICE DEPT                                                                                   ,Waldo                                   ,Arkansas            ,AR,1344,1,2,1,1,28000,28000,NA,NA,NA,NA,(2) No,1.00E+05
AR0640100,1,WALDRON POLICE DEPT                                                                                 ,Waldron                                 ,Arkansas            ,AR,3544,9,1,9,7,33757,35757,31295,31818,26920,28162,(2) No,529400
AR0720000,2,WASHINGTON COUNTY SHERIFFS DEPT                                                                     ,Fayetteville                            ,Arkansas            ,AR,211411,166,131,135,160,36000,99233,40458,54063,31150,41533,(1) Yes,19060789
AZ0111300,1,APACHE JUNCTION POLICE DEPT                                                                         ,Apache Junction                         ,Arizona             ,AZ,36613,55,30,55,50,112000,138000,59658,83521,46604,65246,(2) No,8834000
AZCCHPX00,3,Arizona Dept of Public Safety                                                                       ,Phoenix                                 ,Arizona             ,AZ,6556502,1080,746,1030,868,139549,139549,68926,78335,44725,62660,(2) No,228239400
AZ0070100,1,AVONDALE POLICE DEPT                                                                                ,Avondale                                ,Arizona             ,AZ,78256,111,52,96,72,94257,136673,70366,92352,47840,69264,(1) Yes,2.00E+07
AZ0131300,1,CAMP VERDE MARSHAL'S OFFICE                                                                         ,Camp Verde                              ,Arizona             ,AZ,10925,19,10,16,15,79160,120451,48309,73508,38682,58860,(1) Yes,2185188
AZ0110100,1,CASA GRANDE POLICE DEPT                                                                             ,Casa Grande                             ,Arizona             ,AZ,49974,78,34,73,54,102739,141481,61915,85389,48030,66354,(1) Yes,12096880
AZ0070500,1,CHANDLER POLICE DEPT                                                                                ,Chandler                                ,Arizona             ,AZ,245628,318,156,287,273,123413,172778,77355,93308,51875,73673,(1) Yes,64129770
AZ0030000,2,COCONINO COUNTY SHERIFFS OFFICE                                                                     ,Flagstaff                               ,Arizona             ,AZ,136011,57,169,55,52,1.00E+05,1.00E+05,47558,69937,46310,59752,(1) Yes,24116000
AZ0150200,1,COLORADO RIVER TRIBAL POLICE DEPT                                                                   ,Parker                                  ,Arizona             ,AZ,3118,21,4,19,3,60000,70000,40000,46000,38000,42000,(1) Yes,2300000
AZ0020500,1,DOUGLAS POLICE DEPT                                                                                 ,Douglas                                 ,Arizona             ,AZ,17270,34,14,30,4,78291,99923,42881,60336,41098,55076,(2) No,NA
AZ0070700,1,EL MIRAGE POLICE DEPT                                                                               ,El Mirage                               ,Arizona             ,AZ,32574,40,12,35,33,90043,135075,63731,89668,46571,75857,(1) Yes,6340000
AZ0030100,1,FLAGSTAFF POLICE DEPT                                                                               ,Flagstaff                               ,Arizona             ,AZ,67468,116,45,100,102,84448,124685,54602,76975,47057,60323,(2) No,14900000
AZ0110700,1,FLORENCE POLICE DEPT                                                                                ,Florence                                ,Arizona             ,AZ,26754,30,13,27,24,91000,120000,58000,82000,41000,49000,(2) No,3700000
AZ0040000,2,GILA COUNTY SHERIFFS OFFICE                                                                         ,Globe                                   ,Arizona             ,AZ,53144,49,101,45,38,100824,100824,50044,74297,40081,59488,(1) Yes,9500829
AZ0071100,1,GILBERT POLICE DEPT                                                                                 ,Gilbert                                 ,Arizona             ,AZ,221140,222,110,202,191,115799,196858,77210,93895,52249,73528,(2) No,36254671
AZ0071300,1,GLENDALE POLICE DEPT                                                                                ,Glendale                                ,Arizona             ,AZ,232143,390,114,342,312,109331,174930,76816,88924,49992,68418,(1) Yes,75355455
AZ0040100,1,GLOBE POLICE DEPT                                                                                   ,Globe                                   ,Arizona             ,AZ,7457,22,8,19,13,65013,97519,43100,64650,35380,53070,(1) Yes,2975095
AZ0071700,1,MESA POLICE DEPT                                                                                    ,Mesa                                    ,Arizona             ,AZ,452084,764,400,679,611,129750,174637,85696,99237,54122,72862,(1) Yes,1.55E+08
AZ0040500,1,MIAMI POLICE DEPT                                                                                   ,Miami                                   ,Arizona             ,AZ,1800,10,3,9,3,62000,62000,41000,41000,38000,38000,(1) Yes,6.00E+05
AZ0120100,1,NOGALES POLICE DEPT                                                                                 ,Nogales                                 ,Arizona             ,AZ,20751,54,16,51,2,88999,88999,49408,49408,36780,36780,(1) Yes,4831488
AZ0100700,1,ORO VALLEY POLICE DEPT                                                                              ,Oro Valley                              ,Arizona             ,AZ,41388,69,25,58,59,97271,145906,70246,75638,45184,61792,(1) Yes,1.20E+07
AZ0150100,1,PARKER POLICE DEPT                                                                                  ,Parker                                  ,Arizona             ,AZ,3027,12,2,11,5,80000,90000,50000,60000,33000,45000,(1) Yes,994339
AZ0072100,1,PEORIA POLICE DEPT                                                                                  ,Peoria                                  ,Arizona             ,AZ,159789,186,35,165,157,120273,180410,77166,94869,52237,73492,(1) Yes,37585854
AZ0072300,1,PHOENIX POLICE DEPT                                                                                 ,Phoenix                                 ,Arizona             ,AZ,1488750,2952,1052,2562,2260,125110,212684,72238,99216,46238,72426,(1) Yes,5.65E+08
AZ0100000,2,PIMA COUNTY SHERIFFS OFFICE                                                                         ,Tucson                                  ,Arizona             ,AZ,992394,514,975,454,352,NA,NA,68578,74090,42099,59238,(2) No,132213485
AZ0110000,2,PINAL COUNTY SHERIFFS OFFICE                                                                        ,Florence                                ,Arizona             ,AZ,387365,214,422,199,152,97531,134617,55494,76648,45052,62254,(1) Yes,54143976
AZ0130700,1,PRESCOTT POLICE DEPT                                                                                ,Prescott                                ,Arizona             ,AZ,40308,68,13,63,64,110000,130000,61485,74797,42661,60736,(2) No,9800000
AZ0150300,1,QUARTZSITE POLICE DEPT                                                                              ,Quartzsite                              ,Arizona             ,AZ,3654,9,1,8,4,NA,NA,NA,NA,NA,NA,(1) Yes,NA
AZ0100400,1,SAHUARITA POLICE DEPT                                                                               ,Sahuarita                               ,Arizona             ,AZ,26289,43,8,36,26,93743,126828,55813,75512,43601,58990,(1) Yes,5725250
AZ0078900,1,SALT RIVER TRIBAL POLICE DEPT                                                                       ,Scottsdale                              ,Arizona             ,AZ,4692,110,39,100,52,117452,173241,65345,91485,53808,70465,(1) Yes,1.30E+07
AZ0072500,1,SCOTTSDALE POLICE DEPT                                                                              ,Scottsdale                              ,Arizona             ,AZ,223514,413,240,369,340,178277,178277,76939,90293,49878,76980,(2) No,65646399
AZ0131400,1,SEDONA POLICE DEPT                                                                                  ,Sedona                                  ,Arizona             ,AZ,10037,24,10,21,19,71045,102446,48225,70596,39674,57210,(1) Yes,2350243
AZ0020900,1,SIERRA VISTA POLICE DEPT                                                                            ,Sierra Vista                            ,Arizona             ,AZ,46351,67,30,59,57,120000,135000,50000,70000,45000,65000,(1) Yes,6.00E+06
AZ0140300,1,SOMERTON POLICE DEPT                                                                                ,Somerton                                ,Arizona             ,AZ,14854,21,12,17,1,69000,75000,42000,44000,32000,32000,(1) Yes,1754965
AZ0072700,1,SURPRISE POLICE DEPT                                                                                ,Surprise                                ,Arizona             ,AZ,121287,123,48,110,104,96360,163810,65894,92269,46924,46924,(1) Yes,19074100
